,Index,Name,DisplayName,PostalCode,GoogleMapsUri
190,262,places/ChIJ037p-MwLkkYRc3MGeb8Qjug,Hesburger Rautatientori Kompassitori,00100,https://maps.google.com/?cid=16757349678047458163
191,263,places/ChIJmyXy8cwLkkYRms4NPh5A02M,Suomen Viihderavintolat Oy,00100,https://maps.google.com/?cid=7193163528475102874
192,264,places/ChIJwxjL7swLkkYR3NB-jMptsPg,Restaurant 10. Kerros,00100,https://maps.google.com/?cid=17919943634015146204
193,265,places/ChIJdeP45swLkkYRU0ZvDBQ0-Q4,Casa Largo,00100,https://maps.google.com/?cid=1078950846444553811
194,267,places/ChIJAQDAmswLkkYRFTuylGuoNws,Foody Forum,00100,https://maps.google.com/?cid=808299838145968917
195,268,places/ChIJnzKOpKILkkYRRQO0gp2iVzk,Sushi Daily,00100,https://maps.google.com/?cid=4131949980522120005
196,277,places/ChIJt0ONqs8LkkYRNRZtrNMRkAM,Pikku Jaska,00100,https://maps.google.com/?cid=256724779588720181
197,282,places/ChIJpeX8u8wLkkYRXvRUjuRZYIg,Haiku Sushi Lasipalatsi,00100,https://maps.google.com/?cid=9826953225097770078
198,284,places/ChIJ8Q1VscwLkkYRi4oHNt1UKZI,Restaurant Lasipalatsi,00100,https://maps.google.com/?cid=10532042512653585035
199,285,places/ChIJK9b6BCoLkkYRANnqzan3HC0,Henry’s Music Bar,00100,https://maps.google.com/?cid=3250745339730909440
200,286,places/ChIJ_fySgvQLkkYRIE7fQU-Sa-k,Henry's Distillery,00100,https://maps.google.com/?cid=16819698102450474528
